Year,Date_Collected,Hatch_Date,TL,Stage,Stage2,RM,DOY,meanC
2010,5/17/2010,5/5/2010,11.4,FM,2,52.4,136,14.55077077
2010,5/18/2010,5/7/2010,11.1,FM,2,38.8,137,14.70153462
2010,5/18/2010,5/7/2010,11.1,FM,2,33.7,137,14.70153462
2010,5/18/2010,5/7/2010,11.2,FM,2,39.9,137,14.70153462
2010,5/18/2010,5/6/2010,11.6,FM,2,38.9,137,14.70153462
2010,5/18/2010,5/5/2010,11.9,FM,2,38.8,137,14.70153462
2010,5/18/2010,5/4/2010,12,FM,2,33.7,137,14.70153462
2010,5/19/2010,5/12/2010,9.9,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/12/2010,9.9,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/12/2010,9.9,FM,2,13.9,138,14.83076077
2010,5/19/2010,5/12/2010,10,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/12/2010,10.1,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/12/2010,10.1,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/12/2010,10.1,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.2,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.2,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.3,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.3,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.3,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.4,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.4,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.4,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/11/2010,10.4,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.5,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.5,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.5,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.5,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,25.,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.6,FM,2,13.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,25.,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,13.9,138,14.83076077
2010,5/19/2010,5/10/2010,10.7,FM,2,13.9,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,24.6,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,22.,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,22.,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,20.9,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,17.8,138,14.83076077
2010,5/19/2010,5/9/2010,10.8,FM,2,13.9,138,14.83076077
2010,5/19/2010,5/9/2010,10.9,FM,2,100.5,138,14.83076077
