time,tank,temp,female,fishID,sl,tl,stage,stage2,caudal,dorsal,dorsalMax13,anal,pelvic,total_rays,total_rays2,percentdev,notes,ppm,pFM,pPR,pmt
time3,tank121,20C,F1,2,16,18.9,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank121,20C,F1,3,15.7,18.7,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank121,20C,F1,12,15.8,17.3,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank121,20C,F1,14,15.9,18,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank121,20C,F1,18,15.8,18,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank124,20C,F6,2,15.8,17.8,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank129,20C,F15,2,15.4,18.9,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank129,20C,F15,7,15.7,18.7,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank132,20C,F8,2,16.2,19.8,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank132,20C,F8,3,15.5,19.2,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank132,20C,F8,4,14.3,16.7,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank132,20C,F8,5,16.2,19.6,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank132,20C,F8,7,16.2,18.8,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank136,20C,F16,2,15.9,18.3,mt,4,18,15,13,7,6,40,38,1,,0,0,0,1
time3,tank136,20C,F16,4,16.1,19.4,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank136,20C,F16,5,15.5,18.9,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank145,20C,F13,9,14.6,16.7,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank145,20C,F13,10,13.8,16,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank145,20C,F13,16,15.3,18.1,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank150,20C,F5,8,14.4,17.2,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank150,20C,F5,9,16.6,19.8,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank156,20C,F10,2,16.3,20,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank156,20C,F10,5,15.4,18.4,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,2,15.4,18.1,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,3,15.3,18.2,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,4,14.8,17.5,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,5,15.3,17.8,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank160,20C,F11,6,14.9,17.2,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,7,15.7,18.6,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,8,14.8,17.6,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank160,20C,F11,11,16.5,20.1,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank168,20C,F19,6,14.2,17.1,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank174,20C,F4,2,17.1,20.1,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank174,20C,F4,3,16.1,19.5,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank174,20C,F4,4,16.9,20.7,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank174,20C,F4,6,15.2,17.5,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank174,20C,F4,7,15.5,19,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank180,20C,F18,1,16.4,20,mt,4,18,15,13,7,8,40,38,1,,0,0,0,1
time3,tank180,20C,F18,4,16.3,20.2,mt,4,18,15,13,7,9,40,38,1,,0,0,0,1
time3,tank180,20C,F18,5,16,19.8,mt,4,18,15,13,7,7,40,38,1,,0,0,0,1
time3,tank180,20C,F18,6,17.8,21.8,mt,4,18,15,13,7,10,40,38,1,,0,0,0,1
time3,tank71,18C,F3,10,15.4,17,mt,4,18,14,13,7,8,39,38,0.975,,0,0,0,1
